num	name	item	cost
1	a8320	satu	350,000
2	toko-besi-intan-jaya	sak-semen	4,578,000
3	ns-lk	paku	447,000
4	arda	mow-rf	412,000
5	depo-bangunan	ke1-glazed-natural	265,648
6	sinar-waja	csk	25,000
7	jaya-prima	hollo-4-x-4	1,365,000
8	jaya-prima	hollo-4-x-4	1,950,000
9	ns-lk	dep	570,000
10	ns-lk	lem	60,000
11	toko-besi-intan-jaya	null	1,145,000
