num	name	item	cost
21	bj-home	diceland-and-white	304,000
22	bj-home	diceland	156,800
23	bj-home	sika-ceram	346,600
24	bj-home	white-oakwood	3,498,000
25	bj-home	oakwood-brown	281,500
26	bj-home	sika-ceram	386,400
27	karya-loka	compound	10,000
28	dunia-bangunan	am-51-tile-grout	169,351
29	bj-home	decodryl	188,320
